date,value
2017-01-19,59.03880269110523
2017-01-26,61.6165774246913
2017-01-29,61.6165774246913
2017-02-15,61.04267573922717
2017-02-18,65.72066686004666
2017-02-25,61.357178017171336
2017-02-28,65.19111977777794
2017-03-10,72.35937037724594
2017-03-17,73.83005813983044
2017-03-27,76.46180891631211
2017-03-30,79.99054332310844
2017-04-06,77.8189931417086
2017-04-09,74.89494336270549
2017-04-19,77.53893331557316
2017-04-29,79.6675972193058
2017-05-09,85.50434345116243
2017-05-16,89.28843143233853
2017-05-19,89.28843143233853
2017-05-26,88.11838058916105
2017-06-05,81.04307099240732
2017-06-18,82.79365673197573
2017-06-25,86.72516361590806
2017-07-03,88.05584220188803
2017-07-05,88.26436008508841
2017-07-18,86.26927927965637
2017-07-28,86.26927927965637
2017-08-07,97.98563899937155
2017-08-14,96.92976125250563
2017-08-17,77.35906973559135
2017-08-19,75.44907095572626
2017-08-22,78.78170721148584
2017-08-24,74.16476043105281
2017-08-27,77.099508665672
2017-08-29,73.02487997281611
2017-09-03,71.52056232808489
2017-09-21,61.04267573922717
2017-09-28,61.04267573922717
2017-10-11,65.09670568404698
2017-10-13,65.1722333704805
2017-10-16,67.9485474822021
2017-10-18,67.9485474822021
2017-10-23,66.80300296520886
2017-10-26,59.82670155514521
2017-10-28,43.212823646912625
2017-10-31,43.57644305563953
2017-11-02,45.64450685523016
2017-11-05,46.16641489268543
2017-11-07,45.09106927562242
2017-11-15,46.74106226643585
2017-11-17,42.65283498882825
2017-11-20,45.594102940774654
2017-11-22,42.800834164745794
2017-11-25,42.800834164745794
2017-11-27,43.36145629913224
2017-12-05,47.505199088013676
2017-12-07,47.505199088013676
2017-12-20,51.38620676455952
2018-02-10,91.17943690082903
2018-02-18,91.17943690082903
2018-02-25,82.89581171047658
2018-03-02,87.9099759166799
2018-04-19,95.66338528500725
2018-04-21,93.46572346613125
2018-04-26,91.85491890988497
2018-05-04,94.14669835672852
2018-05-06,89.41409384419931
2018-05-11,88.26436008508841
2018-05-19,85.9382221544778
2018-05-21,85.9382221544778
2018-06-23,88.99544455435458
2018-06-25,85.66954567883107
2018-06-28,87.18183493520178
2018-07-08,85.8761954134216
2018-07-10,86.49712298573496
2018-07-15,84.30975903688368
2018-07-18,86.89113493288887
2018-07-20,86.12439044291095
2018-07-23,90.40045119816766
2018-07-25,88.01415803095395
2018-08-02,89.93831039270196
2018-08-04,90.29535102350515
2018-08-12,90.67389915434458
2018-08-19,91.85491890988497
2018-08-22,83.96066773417235
2018-09-01,81.40845708270484
2018-09-08,76.28276894058187
2018-09-11,74.7171155097799
2018-09-16,73.7513768150826
2018-09-26,79.68776880032435
2018-09-28,81.22569668226708
2018-10-06,74.16476043105281
2018-10-13,75.58781195708185
2018-10-16,75.58781195708185
2018-10-18,78.15951048691753
2018-10-21,74.85541408654073
2018-10-23,74.99379647920615
2018-12-25,82.10009917509396
2018-12-30,82.10009917509396
2019-02-13,79.40551907345453
2019-02-15,83.63254528037105
2019-02-18,82.85494476365851
2019-02-20,84.90636250312903
2019-02-23,83.03889803856275
2019-02-25,83.83757245643305
2019-03-05,86.06231967286861
2019-03-07,82.7119624875751
2019-03-12,80.65797072260649
2019-03-20,86.24857598647876
2019-03-22,91.13727357070512
2019-03-25,84.24812019036982
2019-03-27,88.36867964154287
2019-03-30,87.16106009510753
2019-04-01,87.16106009510753
2019-04-09,87.16106009510753
2019-04-14,96.13495479842223
2019-05-14,96.17786243751831
2019-05-16,96.2851589922736
2019-05-31,87.76418893391907
2019-06-13,94.65849195554799
2019-06-18,100.0
2019-06-25,100.0
2019-06-28,99.9130223709021
2019-06-30,99.9130223709021
2019-07-03,100.0
2019-07-05,99.26196794270533
2019-07-08,95.38508811850839
2019-07-10,96.17786243751831
2019-07-13,93.65708382070285
2019-07-15,91.81265341715252
2019-07-23,93.25325139317057
2019-07-25,91.83378536638654
2019-07-28,87.20261139835492
2019-08-02,90.46353053907632
2019-08-04,91.36925098234308
2019-08-09,83.7555418374366
2019-08-14,81.10393124807594
2019-08-17,81.10393124807594
2019-08-22,73.81038523024176
2019-08-24,70.85959261825228
2019-08-29,70.14259189741496
2019-09-03,65.4935461457735
2019-09-06,61.02419211101668
2019-09-08,53.054604320878965
2019-09-11,47.233040718530326
2019-09-13,44.706651142974444
2019-09-16,43.13032227560342
2019-09-18,43.13032227560342
2019-09-21,44.79012848955139
2019-10-11,42.53784076867312
2019-10-13,44.24012267491352
2019-10-16,42.275379342924595
2019-10-26,42.275379342924595
2019-12-05,72.12496196402557
2019-12-10,76.50161426024144
2019-12-25,89.37219993623215
2019-12-30,90.75809144283281
2020-01-06,87.20261139835492
2020-01-11,87.99331837205688
2020-01-16,86.72516361590806
2020-01-19,87.3480920748934
2020-01-21,87.3480920748934
2020-01-24,89.01636171737891
2020-02-03,97.64045032089531
2020-02-05,97.70514277404592
2020-03-19,88.36867964154287
2020-03-21,92.0451925224401
2020-03-24,87.26495052483607
2020-03-26,87.26495052483607
2020-03-31,88.22264357482331
2020-04-03,87.26495052483607
2020-04-05,87.05721024518238
2020-04-08,88.38954839991789
2020-04-10,88.18093353031755
2020-04-13,86.47640178150145
2020-04-15,87.86831439896635
2020-04-25,91.15835443660599
2020-05-05,100.0
2020-05-18,99.82613451600224
2020-05-20,95.36369165575962
2020-05-25,92.42612675546454
2020-05-28,98.17998305677705
2020-05-30,93.91243046662173
2020-06-02,95.72764544558923
2020-07-09,91.85491890988497
2020-07-12,94.93609303813629
2020-07-14,96.26369654385991
2020-07-19,89.51885676917935
